uid,genre,aired,episodes,score,start,end
19319,"['Action', 'Sci-Fi', 'Mecha']","Oct 7, 2013 to Mar 31, 2014",25.0,7.87,"Oct 7, 2013","Mar 31, 2014"
1571,"['Mystery', 'Comedy', 'Horror', 'Supernatural', 'Shoujo']","Oct 4, 2006 to Mar 28, 2007",25.0,7.87,"Oct 4, 2006","Mar 28, 2007"
35222,"['Comedy', 'School', 'Shoujo', 'Slice of Life']","Jan 7, 2018 to Mar 25, 2018",12.0,7.87,"Jan 7, 2018","Mar 25, 2018"
38770,"['Action', 'Mystery', 'Comedy', 'Police', 'Drama', 'Shounen']","Apr 12, 2019",1.0,7.87,"Apr 12, 2019",
269,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Supernatural', 'Shounen']","Oct 5, 2004 to Mar 27, 2012",366.0,7.87,"Oct 5, 2004","Mar 27, 2012"
30123,"['Fantasy', 'Romance', 'Drama', 'Shoujo']","Jul 7, 2015 to Sep 22, 2015",12.0,7.87,"Jul 7, 2015","Sep 22, 2015"
32998,"['Action', 'Drama', 'Historical']","Jul 9, 2016 to Oct 1, 2016",12.0,7.87,"Jul 9, 2016","Oct 1, 2016"
202,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']","Jan 7, 2003 to Jul 29, 2003",26.0,7.88,"Jan 7, 2003","Jul 29, 2003"
5005,"['Comedy', 'Parody', 'Super Power', 'Seinen']","Oct 3, 2008 to Mar 28, 2009",26.0,7.88,"Oct 3, 2008","Mar 28, 2009"
18397,"['Action', 'Super Power', 'Drama', 'Fantasy', 'Shounen']","Dec 9, 2013 to Aug 8, 2014",3.0,7.88,"Dec 9, 2013","Aug 8, 2014"
3750,"['School', 'Shoujo', 'Shoujo Ai', 'Slice of Life']","Jan 3, 2009 to Mar 28, 2009",13.0,7.88,"Jan 3, 2009","Mar 28, 2009"
33263,"['Action', 'Mystery', 'Supernatural', 'Drama']","Oct 26, 2016 to Sep 27, 2017",8.0,7.88,"Oct 26, 2016","Sep 27, 2017"
32380,"['Magic', 'Adventure', 'Fantasy', 'Comedy', 'Supernatural']","Jun 24, 2016",1.0,7.88,"Jun 24, 2016",
35860,"['Romance', 'Comedy', 'School', 'Slice of Life', 'Shounen']","Jan 8, 2018 to Mar 26, 2018",12.0,7.88,"Jan 8, 2018","Mar 26, 2018"
3092,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']","Apr 11, 2008 to Jun 27, 2008",12.0,7.88,"Apr 11, 2008","Jun 27, 2008"
38084,"['Action', 'Fantasy', 'Magic', 'Supernatural']","Oct 5, 2019 to Mar, 2020",21.0,7.88,"Oct 5, 2019","Mar, 2020"
37033,"['Slice of Life', 'Comedy']","Jan 25, 2018 to Jan 1, 2019",13.0,7.88,"Jan 25, 2018","Jan 1, 2019"
28999,"['Drama', 'School', 'Super Power']","Jul 5, 2015 to Sep 27, 2015",13.0,7.88,"Jul 5, 2015","Sep 27, 2015"
388,"['Cars', 'Shounen', 'Sports']","Oct 4, 2005 to Sep 26, 2006",52.0,7.88,"Oct 4, 2005","Sep 26, 2006"
9724,"['Action', 'Military', 'Fantasy', 'Mecha', 'Shounen']","Jan 22, 2011",1.0,7.88,"Jan 22, 2011",
37985,"['Slice of Life', 'Comedy']","Jun 14, 2019",10.0,7.88,"Jun 14, 2019",
38435,"['Action', 'Adventure', 'Demons', 'Fantasy', 'Martial Arts', 'Romance']","Oct 1, 2018 to Feb 1, 2019",40.0,7.89,"Oct 1, 2018","Feb 1, 2019"
20057,"['Sci-Fi', 'Space', 'Comedy']","Jan 5, 2014 to Mar 27, 2014",13.0,7.89,"Jan 5, 2014","Mar 27, 2014"
1172,"['Adventure', 'Comedy', 'Demons', 'Magic', 'Fantasy', 'Shounen']","Apr 4, 1997 to Sep 26, 1997",26.0,7.89,"Apr 4, 1997","Sep 26, 1997"
397,"['Action', 'Military', 'Romance', 'Sci-Fi', 'Space']","Jul 11, 2001 to Sep 26, 2001",10.0,7.89,"Jul 11, 2001","Sep 26, 2001"
2273,"['Action', 'Space', 'Mecha', 'Military', 'Drama', 'Sci-Fi']","Aug 1, 1998",1.0,7.89,"Aug 1, 1998",
4080,"['Adventure', 'Comedy', 'Demons', 'Fantasy', 'Shoujo']","Apr 3, 2008 to Feb 19, 2009",39.0,7.89,"Apr 3, 2008","Feb 19, 2009"
11887,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'School']","Jul 8, 2012 to Sep 30, 2012",13.0,7.89,"Jul 8, 2012","Sep 30, 2012"
254,"['Comedy', 'Slice of Life']","Aug 25, 2002 to Jan 25, 2003",6.0,7.89,"Aug 25, 2002","Jan 25, 2003"
